"","Município","Confirmados","Novos Confirmados","Incidência /100 mil hab","Óbitos","Novos Óbitos","Mortalidade /100 mil hab"
"","Não-Me-Toque","453","12","2570.4","6","0","34.0"
"","Capão do Leão","437","29","1723.6","14","1","55.2"
"","Soledade","437","22","1409.6","7","1","22.6"
"","Tenente Portela","429","4","3181.3","5","0","37.1"
"","Bom Princípio","421","1","2995.4","5","0","35.6"
"","Panambi","415","17","950.4","6","0","13.7"
"","São Sepé","411","1","1740.0","8","0","33.9"
"","Casca","411","4","4551.0","3","0","33.2"
"","Feliz","401","5","2960.1","5","0","36.9"
"","São Lourenço do Sul","390","22","894.9","8","0","18.4"
"","Butiá","389","1","1857.6","19","0","90.7"
"","São Jerônimo","377","1","1554.8","21","0","86.6"
"","Nonoai","351","2","3001.3","5","0","42.8"
"","Entre-Ijuís","344","3","4059.0","3","0","35.4"
"","Cidreira","324","12","1993.4","10","1","61.5"
"","Três Cachoeiras","322","1","2913.2","8","0","72.4"
"","Balneário Pinhal","318","0","2260.4","4","0","28.4"
"","Canguçu","311","9","554.9","9","0","16.1"
"","Santa Bárbara do Sul","305","17","3815.4","7","0","87.6"
"","Giruá","303","19","1893.3","7","0","43.7"
"","Porto Xavier","303","0","2957.3","3","0","29.3"
"","Júlio de Castilhos","302","0","1565.3","3","0","15.5"
"","Ibiraiaras","293","4","4034.7","12","0","165.2"
"","Tapes","289","1","1670.5","9","0","52.0"
"","Ajuricaba","286","3","4071.8","2","0","28.5"
"","Muçum","285","1","5752.9","6","0","121.1"
"","Cruzeiro do Sul","270","2","2186.6","5","0","40.5"
"","São Francisco de Assis","252","1","1374.4","2","0","10.9"
"","Bom Retiro do Sul","251","4","2036.0","4","0","32.4"
"","Getúlio Vargas","250","1","1542.1","4","0","24.7"
"","Roca Sales","235","0","2062.7","7","0","61.4"
"","Vera Cruz","235","5","874.8","6","0","22.3"
"","Tabaí","233","0","4937.5","0","0","0"
"","Jaguarão","233","8","873.3","3","0","11.2"
"","Santa Cecília do Sul","233","0","14216.0","0","0","0"
"","Arroio dos Ratos","222","1","1568.8","12","0","84.8"
"","Novo Barreiro","219","3","5259.4","5","0","120.1"
"","Dom Pedrito","215","0","559.0","4","0","10.4"
"","Encruzilhada do Sul","213","2","823.1","6","0","23.2"
"","Redentora","213","2","1844.3","3","0","26.0"
"","Machadinho","209","0","3838.4","2","0","36.7"
