 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"150670 Santana do Araguaia";1206187,62;1134283,87;1054371,10;742435,19;871074,74;1137262,81;1338165,14;986327,80;1032941,27;835891,89;802153,04;886021,41;632529,48;12659645,36
"150680 Santarém";7935899,65;12387169,76;14556961,98;15162427,44;15169713,49;19576345,96;18799388,79;18880745,43;19295573,13;21565111,84;21713870,02;22784986,88;18199425,03;226027619,40
"150700 Santo Antônio do Tauá";1427121,98;1421730,72;1396860,61;1327877,92;1344013,92;1664196,79;1460765,20;1429355,67;1429219,23;1444875,05;2080319,53;2082409,74;819903,34;19328649,70
"150715 São Domingos do Araguaia";673501,55;610113,80;702516,21;771872,15;335623,30;338948,96;290426,29;258342,90;202902,98;214377,60;311457,39;231193,26;87375,26;5028651,65
"150720 São Domingos do Capim";311338,72;338590,92;335364,83;238442,20;216078,52;589890,27;342884,38;354349,90;353829,22;363327,96;425691,99;667357,38;281299,98;4818446,27
"150730 São Félix do Xingu";1080644,34;1843349,13;1482473,15;1451056,73;1921477,72;1333908,21;1188472,74;1334838,37;1501291,66;1716320,92;2819836,17;2464414,02;1530463,79;21668546,95
"150745 São Geraldo do Araguaia";599685,66;866875,80;847655,76;960896,79;959458,12;913449,87;759616,88;712057,40;621990,99;935994,63;799256,01;527777,34;98979,41;9603694,66
"150747 São João de Pirabas";618266,64;780096,93;754098,38;351094,84;413881,39;299373,23;236878,05;195779,39;248540,29;150452,12;161865,10;73690,97;191907,20;4475924,53
"150750 São João do Araguaia";177404,71;195259,10;240717,62;179012,96;142110,49;223572,29;138407,69;92994,03;147582,38;109851,77;138517,80;80748,87;36081,71;1902261,42
"150760 São Miguel do Guamá";460310,35;1104353,71;881413,25;889660,33;713754,87;845583,97;476739,82;672683,84;443569,82;707391,93;751589,66;527067,69;181202,97;8655322,21
"150770 São Sebastião da Boa Vista";262356,72;277749,12;407574,83;409852,22;307024,74;463128,72;435575,39;446560,30;433618,72;404999,40;481285,00;494917,87;296568,62;5121211,65
"150775 Sapucaia";47566,76;153945,47;225405,79;189187,86;160112,73;309578,34;211461,88;200182,02;286885,46;132312,30;118310,31;114878,48;63827,06;2213654,46
"150780 Senador José Porfírio";-;-;64246,48;374580,38;264241,24;239545,36;185324,16;184274,37;176421,72;278343,46;163896,35;238184,55;223580,47;2392638,54
"150790 Soure";582385,41;348936,01;649892,04;677721,62;792246,63;534601,18;533675,94;402959,92;410103,37;666290,39;680655,92;672279,03;323522,42;7275269,88
"150795 Tailândia";1109263,55;1091503,97;1140358,95;1087405,77;1157275,14;1030233,97;1450887,25;1427023,95;1345476,10;1261803,70;1788514,15;1633303,32;1108815,22;16631865,04
"150797 Terra Santa";276762,36;294759,02;365993,90;247100,59;450206,24;424635,89;356202,42;254229,63;320816,67;400460,44;419712,05;357462,29;175381,96;4343723,46
"150800 Tomé-Açu";1703729,82;1262306,69;1534213,60;1282043,85;1537139,10;1456326,18;1328213,17;1240396,74;1211285,98;1298079,82;1229720,14;1385325,59;749709,60;17218490,28
"150803 Tracuateua";-;-;280160,86;408075,73;270781,07;454391,37;445963,11;524115,77;530258,78;422742,72;362437,83;433567,08;160090,32;4292584,64
"150805 Trairão";95481,47;217248,39;248208,99;368066,96;388085,01;353323,22;313711,85;303297,66;272676,41;479234,91;388558,42;449239,72;288213,16;4165346,17
"150808 Tucumã";1070527,61;1325541,35;1230305,52;1217413,96;1125674,94;1236220,50;1223051,70;1197471,49;1671112,71;1947644,51;2482769,72;2140530,25;1373402,26;19241666,52
"150810 Tucuruí";2987832,27;3780733,80;4051231,17;5030843,50;4085564,82;3353525,14;3919839,11;3666801,68;2969868,83;3603814,22;4065947,53;4148567,75;1644869,91;47309439,73
"150812 Ulianópolis";1419039,28;1554020,84;1566911,31;1648382,11;1464668,31;3224505,79;1966934,76;1463206,98;1371167,55;1419877,26;1333154,74;1141919,21;486641,08;20060429,22
"150815 Uruará";1245685,37;1348312,13;1339941,29;1600728,47;1214704,91;1311320,88;1066925,05;915024,63;759491,36;1437383,73;1478811,23;1443201,50;715157,64;15876688,19
"150820 Vigia";806026,79;832676,31;918194,38;958159,80;963319,52;983121,73;1025269,18;1015013,11;1044076,02;650163,35;1005840,21;1042490,14;536181,20;11780531,74
"150830 Viseu";791370,70;1203777,66;1124152,36;1194694,84;1199523,48;1058219,64;1062467,36;1047602,41;1094875,97;1067520,37;1103111,41;1200347,76;710589,92;13858253,88
"150835 Vitória do Xingu";-;-;93365,32;161432,74;8214,39;39430,69;99673,89;161160,18;414042,00;392022,39;482614,32;601657,28;525269,36;2978882,56
"150840 Xinguara";1518860,60;1620710,45;1858475,65;1233621,23;754501,35;1291522,03;2034754,52;1820465,29;908880,08;1094465,93;1257625,13;1241569,86;928314,72;17563766,84
"160010 Amapá";-;-;-;19166,69;51343,57;58345,71;72473,09;86181,44;98111,68;75273,74;121383,08;88281,32;16696,68;687257,00
"160020 Calçoene";40246,94;290854,51;166965,48;188670,07;161493,33;188646,36;154885,62;146985,54;119721,40;114585,01;154641,23;140719,30;51793,75;1920208,54
"160027 Laranjal do Jari";962386,01;1357551,25;1314916,15;1218530,11;1438290,69;1424404,08;1578493,87;1426483,54;1327725,67;1632192,26;1859887,52;1660121,38;1051319,45;18252301,98
"160030 Macapá";12652293,93;16904031,70;16418984,91;17637441,73;18530736,55;19284174,65;18050866,12;17533895,09;17685202,18;17675794,69;20720725,08;23928221,78;14960374,45;231982742,86
"160040 Mazagão";-;-;-;-;-;-;-;-;-;-;22936,81;32110,06;13347,26;68394,13
"160050 Oiapoque";157908,24;356705,76;242691,31;167959,06;196837,56;290797,63;384760,27;32332,39;-;373966,52;504894,92;621260,71;480242,24;3810356,61
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-;-;31542,69;63229,88;44974,33;70587,53;37050,22;247384,65
"160053 Porto Grande";167398,35;190839,64;179435,55;206119,69;200861,99;189652,90;201457,55;209620,29;79505,86;95120,53;80036,43;77247,14;25181,59;1902477,51
"160060 Santana";2375647,47;2750099,74;2413483,28;2572162,97;2618362,50;2665416,53;2911326,23;2617647,38;2575162,58;2336454,34;2305441,87;2683708,99;1784765,21;32609679,09
"160005 Serra do Navio";-;-;-;-;-;-;-;-;-;-;13958,60;13448,64;5561,29;32968,53
"160070 Tartarugalzinho";-;21598,05;-;-;-;-;-;-;-;-;15075,60;54700,13;32840,07;124213,85
"170070 Alvorada";-;-;48703,84;66108,43;250592,86;225776,85;239822,71;218176,47;194045,69;252395,76;172146,99;346455,52;166927,62;2181152,74
"170100 Ananás";274783,35;364926,66;288980,02;200081,65;41471,86;35902,26;52205,06;48054,45;55020,60;65105,22;100215,59;40544,20;9345,42;1576636,34
"170190 Araguacema";131301,13;78288,75;52320,30;81894,47;58701,69;61415,76;81968,18;90818,75;101989,93;93547,77;71944,02;9459,34;-;913650,09
"170200 Araguaçu";395455,68;414475,67;495786,08;539077,87;491364,51;556658,16;548074,13;373183,41;341889,37;366694,75;266663,00;298723,19;106452,87;5194498,69
"170210 Araguaína";21081973,53;25003337,57;25244871,48;25089373,23;27630416,96;26863026,25;27736317,84;25709461,75;26856941,98;26166601,31;26122965,37;28115235,40;20908562,10;332529084,77
"170220 Araguatins";489607,37;332643,15;184705,75;125872,92;163857,13;356278,97;179734,05;41667,78;75005,89;83052,44;246567,29;152865,05;80484,02;2512341,81
"170230 Arapoema";281697,55;309369,71;343154,68;351549,55;479739,57;464604,34;296187,66;271462,77;159465,71;292982,87;561706,53;530023,79;189178,40;4531123,13
